country,state,district,year,dyid,arsenic,carbonate,calcium,chloride,electricalconductivity,fluorine,iron,hydrogencarbonate,potassium,magnesium,nitrate,sodium,percentageofsodium,phosphateion,residualsodiumcarbonate,sodiumabsorptionratio,sulfate,silicondioxide,hardnesstotal,alkalinitytotal,totaldissolvedsolids,potentialofhydrogen
India,West Bengal,24 Paraganas North,2000,24 Paraganas North2000,,,50.588234,78.411766,848.47058,0.42812499,0.34727272,366.82352,3.1764705,32.882355,7.375,74.823532,,,,2.1372514,65,,261.76471,,,7.6882353
India,West Bengal,24 Paraganas North,2001,24 Paraganas North2001,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas North,2002,24 Paraganas North2002,,,85.666664,98.555557,907.38892,0.35611111,,436.11111,10.783334,31.166666,11.273889,56.888889,,,,1.2533333,10.469444,,342.5,,,7.9033332
India,West Bengal,24 Paraganas North,2003,24 Paraganas North2003,,,,,874.8421,1.0744444,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas North,2004,24 Paraganas North2004,,,57.040001,71.666664,963.91998,0.63416666,,437.58334,5.2105265,33.617199,6.1854167,88.160004,,,,2.4352,12.466666,,280.56,,,7.6680002
India,West Bengal,24 Paraganas North,2005,24 Paraganas North2005,,,32.108109,54.861111,702.43243,0.2745946,,247.86487,5.0810809,29.641352,18,63.891891,,,,1.8667568,12.8,,201.94595,,,8.2108107
India,West Bengal,24 Paraganas North,2006,24 Paraganas North2006,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas North,2007,24 Paraganas North2007,,,42.833332,134.625,1117.5,0.248,,331.08334,4.5416665,41.69875,6.1915002,106.66666,,,,3.2225001,14.363636,,278.625,,,7.9375
India,West Bengal,24 Paraganas North,2008,24 Paraganas North2008,,,112,60,969,0.55000001,1.08,540,44,29,12,45,,,,0.98000002,28,,400,,,8.1000004
India,West Bengal,24 Paraganas North,2009,24 Paraganas North2009,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas North,2010,24 Paraganas North2010,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas North,2011,24 Paraganas North2011,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas North,2012,24 Paraganas North2012,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas North,2013,24 Paraganas North2013,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas North,2014,24 Paraganas North2014,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas North,2015,24 Paraganas North2015,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas North,2016,24 Paraganas North2016,,0,45.093334,100.2,792.20001,0.38293332,1.3,299.50665,5.8729334,35.666668,17.093334,67.573334,,0.21799999,,,5.6666665,16.973333,259.46667,,,7.9260001
India,West Bengal,24 Paraganas North,2017,24 Paraganas North2017,,5.6842103,20.564102,78.07692,718.12823,0.36108109,2.0614285,244.02563,4.528718,33.205128,6.3233333,77.743591,,0.26611111,,,36,18.487179,188.1282,209.23077,,8.2510252
India,West Bengal,24 Paraganas North,2018,24 Paraganas North2018,0,3.84375,27.125,75.126717,752.59375,0.58718753,0,323.49063,4.6907811,31.816801,6.8807812,82.098747,,2.0445173,0,0,7.1546874,13.320937,198.75,271.5625,450.47192,8.1907816
India,West Bengal,24 Paraganas South,2000,24 Paraganas South2000,,,53.483871,189.64516,1210,0.49310344,0.77100003,381.29031,5.664516,33.967743,3.9666667,150.25807,,,,4.4538708,25.134615,,270.32257,,,7.8470969
India,West Bengal,24 Paraganas South,2001,24 Paraganas South2001,,,51.947369,169.94737,1123.3684,0.40967742,1.8128999,365.02631,4.0289474,38.955524,18.095715,135,,,,3.7848685,34.094547,,256.8421,,,7.7342105
India,West Bengal,24 Paraganas South,2002,24 Paraganas South2002,,,55.294117,226.64706,1290.6471,0.46222222,1.23,372.64706,4.1264706,33.057354,2.6500001,172.08824,,,,4.7825584,40.115002,,278.02942,,,7.7411766
India,West Bengal,24 Paraganas South,2003,24 Paraganas South2003,,,,,1575.6296,0.63592595,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas South,2004,24 Paraganas South2004,,,37.81818,286.90909,1403,0.59545457,3.3099999,357.72726,3.7636364,27.230909,7.1428571,225.45454,,,,6.7921543,2,,206.36363,,,7.7363639
India,West Bengal,24 Paraganas South,2005,24 Paraganas South2005,,,43.285713,213.74286,1166.8572,0.18322581,,348.42856,15.288571,26.473999,4.5500002,167.02856,,,,5.3060002,20.542856,,216.88571,,,7.5085716
India,West Bengal,24 Paraganas South,2006,24 Paraganas South2006,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas South,2007,24 Paraganas South2007,,,35,193.5,1275.8462,0.23192307,,302.69232,2.4000001,38.603462,6.7747369,146.96001,,,,4.3829479,30.625,,245.76923,,,7.8923078
India,West Bengal,24 Paraganas South,2008,24 Paraganas South2008,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas South,2009,24 Paraganas South2009,,,42.799999,257.65714,1506.4857,0.31114286,1.8234285,395.02856,8.0228567,33.668858,8.272727,221.17143,,,,6.4108572,18.291666,,245.42857,,,8.0382862
India,West Bengal,24 Paraganas South,2010,24 Paraganas South2010,,,31,296.625,1552.2084,0.37625,1.0707692,360.66666,8.5249996,29.246666,,251.125,,,,8.1387501,67.884209,,197.70833,,,7.5208335
India,West Bengal,24 Paraganas South,2011,24 Paraganas South2011,,,40.880001,352.92001,1557.8,0.15285714,0.72411764,277.32001,7.5083332,31.2864,,254.91667,,,,7.2445831,45.52174,,226.8,,,7.2168002
India,West Bengal,24 Paraganas South,2012,24 Paraganas South2012,,,25.846153,263.30768,1176.0769,0.14461538,1.5234616,205.73077,2.0692308,29.954231,5.6059999,173.11539,,,,6.0688462,42.307693,,183.80769,,,7.6884618
India,West Bengal,24 Paraganas South,2013,24 Paraganas South2013,,,46.636364,177.96364,1169.1364,0.40238094,6.8699999,389.36365,5.9499998,26.30591,3.768889,171.54546,,,,5.5,27.081818,,224.54546,,,7.9727273
India,West Bengal,24 Paraganas South,2014,24 Paraganas South2014,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas South,2015,24 Paraganas South2015,,,,,,,,,,,,,,,,,,,,,,
India,West Bengal,24 Paraganas South,2016,24 Paraganas South2016,,0,58.085712,255.11429,1266.5143,0.35942858,,302.78571,6.7285714,28.827143,4.6857142,167.47144,,0.14128572,,,25.885714,24.957144,259.42856,,,7.9088573
