"year","state","country","district","dyid","residualsodiumcarbonate","GDP"
2000,"ANDHRA PRADESH","India","Prakasam","Prakasam2000",12.157647,126035
2000,"ANDHRA PRADESH","India","East Godavari","East Godavari2000",2.3408,126035
2000,"ANDHRA PRADESH","India","Y.S.R.","Y.S.R.2000",10.189,126035
2000,"ANDHRA PRADESH","India","West Godavari","West Godavari2000",3.3264999,126035
2000,"ANDHRA PRADESH","India","Vizianagaram","Vizianagaram2000",0.45466667,126035
2000,"ANDHRA PRADESH","India","Guntur","Guntur2000",3.9606667,126035
2000,"ANDHRA PRADESH","India","Sri Potti Sriramulu Nellore","Sri Potti Sriramulu Nellore2000",5.8688002,126035
2000,"ANDHRA PRADESH","India","Krishna","Krishna2000",3.9275999,126035
2000,"ANDHRA PRADESH","India","Anantapur","Anantapur2000",5.2656665,126035
2000,"ANDHRA PRADESH","India","Chittoor","Chittoor2000",4.1312499,126035
2000,"ANDHRA PRADESH","India","Srikakulam","Srikakulam2000",4.9570003,126035
2000,"ANDHRA PRADESH","India","Visakhapatanam","Visakhapatanam2000",2.1836364,126035
2000,"BIHAR","India","Khagaria","Khagaria2000",2.98,53656
2000,"BIHAR","India","Katihar","Katihar2000",1.6350851,53656
2000,"BIHAR","India","Saharsa","Saharsa2000",1.6533333,53656
2000,"BIHAR","India","Purbi Champaran","Purbi Champaran2000",7.1599998,53656
2000,"BIHAR","India","Bhagalpur","Bhagalpur2000",1.3200001,53656
2000,"BIHAR","India","Aurangabad","Aurangabad2000",4.1079998,53656
2000,"BIHAR","India","Purnia","Purnia2000",0.90365112,53656
2000,"BIHAR","India","Pashchim Champaran","Pashchim Champaran2000",7.1199999,53656
2000,"BIHAR","India","Patna","Patna2000",3.8636773,53656
2000,"BIHAR","India","Lakhisarai","Lakhisarai2000",4.1199999,53656
2000,"BIHAR","India","Begusarai","Begusarai2000",2.9695835,53656
2000,"CHHATTISGARH","India","Raigarh","Raigarh2000",0.2,22372
2000,"GUJARAT","India","Bharuch","Bharuch2000",6.1999998,86431
2000,"GUJARAT","India","Dohad","Dohad2000",3.7872727,86431
2000,"GUJARAT","India","Amreli","Amreli2000",9.2266665,86431
2000,"GUJARAT","India","Surendranagar","Surendranagar2000",6.4082909,86431
2000,"GUJARAT","India","Jamnagar","Jamnagar2000",5.7966666,86431
2000,"GUJARAT","India","Kheda","Kheda2000",8.75,86431
2000,"GUJARAT","India","Gandhinagar","Gandhinagar2000",0.62,86431
2000,"GUJARAT","India","Banas Kantha","Banas Kantha2000",5.296,86431
2000,"GUJARAT","India","Surat","Surat2000",4.395,86431
2000,"GUJARAT","India","Valsad","Valsad2000",1.2333333,86431
2000,"GUJARAT","India","Tapi","Tapi2000",1.112,86431
2000,"GUJARAT","India","Sabar Kantha","Sabar Kantha2000",3.5700002,86431
2000,"GUJARAT","India","Rajkot","Rajkot2000",3.2955556,86431
2000,"GUJARAT","India","Kachchh","Kachchh2000",7.0733333,86431
2000,"GUJARAT","India","Anand","Anand2000",13.16,86431
2000,"GUJARAT","India","Junagadh","Junagadh2000",0.18000001,86431
2000,"GUJARAT","India","The Dangs","The Dangs2000",3.8499999,86431
2000,"GUJARAT","India","Porbandar","Porbandar2000",1.62,86431
2000,"GUJARAT","India","Bhavnagar","Bhavnagar2000",4.5433335,86431
2000,"GUJARAT","India","Panch Mahals","Panch Mahals2000",1.722,86431
2000,"GUJARAT","India","Ahmadabad","Ahmadabad2000",4.71,86431
2000,"GUJARAT","India","Vadodara","Vadodara2000",5.05125,86431
